dv,cand,dv_val,se,scheme,strata,survey
gov_vote,DeSantis,44.22541979871182,1.2428307306584854,CMAGR,No Stratification,FES PID with Reg
gov_vote,Crist,54.51530740214254,1.2458958975742236,CMAGR,No Stratification,FES PID with Reg
gov_vote,Roos,0.7871586333852914,0.22207004824061513,CMAGR,No Stratification,FES PID with Reg
gov_vote,Gimenez,0.47211416576035437,0.12930146066018902,CMAGR,No Stratification,FES PID with Reg
sen_vote,Rubio,41.8636493359222,1.2262624888381932,CMAGR,No Stratification,FES PID with Reg
sen_vote,Demings,56.49728377343739,1.2323376616470576,CMAGR,No Stratification,FES PID with Reg
sen_vote,Third Party,1.1446533940066081,0.2620902551945339,CMAGR,No Stratification,FES PID with Reg
sen_vote,Other,0.4944134966337954,0.132307372833664,CMAGR,No Stratification,FES PID with Reg
house_vote,Republican,42.11754328433414,1.239377337031973,CMAGR,No Stratification,FES PID with Reg
house_vote,Democrat,54.77293878315821,1.2507279613171343,CMAGR,No Stratification,FES PID with Reg
house_vote,Third Party,1.3512837963692161,0.27790516327060383,CMAGR,No Stratification,FES PID with Reg
house_vote,Other,1.7582341361384357,0.33014523343420626,CMAGR,No Stratification,FES PID with Reg
climate,NA,1.9860362602710904,0.030351394068435254,CMAGR,No Stratification,FES PID with Reg
wait_time,NA,5.841298505514047,0.5076834649551503,CMAGR,No Stratification,FES PID with Reg
gov_vote,DeSantis,53.45862708280021,1.240997548173693,CMAGR+Party,No Stratification,FES PID with Reg
gov_vote,Crist,45.15675633671996,1.2338721071325085,CMAGR+Party,No Stratification,FES PID with Reg
gov_vote,Roos,0.8595309722518519,0.21655610818985682,CMAGR+Party,No Stratification,FES PID with Reg
gov_vote,Gimenez,0.525085608227966,0.1553512823648395,CMAGR+Party,No Stratification,FES PID with Reg
sen_vote,Rubio,50.22652935352264,1.2469520666973277,CMAGR+Party,No Stratification,FES PID with Reg
sen_vote,Demings,47.756497174902236,1.2410146960693218,CMAGR+Party,No Stratification,FES PID with Reg
sen_vote,Third Party,1.389354443846817,0.26684511840269726,CMAGR+Party,No Stratification,FES PID with Reg
sen_vote,Other,0.6276190277283158,0.16094928588891805,CMAGR+Party,No Stratification,FES PID with Reg
house_vote,Republican,50.893996856278946,1.2576848441229636,CMAGR+Party,No Stratification,FES PID with Reg
house_vote,Democrat,45.42798365853083,1.2425292408314668,CMAGR+Party,No Stratification,FES PID with Reg
house_vote,Third Party,1.8103157831363075,0.35432216913294345,CMAGR+Party,No Stratification,FES PID with Reg
house_vote,Other,1.8677037020539127,0.3224677166214857,CMAGR+Party,No Stratification,FES PID with Reg
climate,NA,2.1395104261465727,0.029543038922303273,CMAGR+Party,No Stratification,FES PID with Reg
wait_time,NA,5.185817189554011,0.3217961831892575,CMAGR+Party,No Stratification,FES PID with Reg
gov_vote,DeSantis,53.419156516326474,1.1780677130260515,CMAGR+Party+Precinct,No Stratification,FES PID with Reg
gov_vote,Crist,45.02805324240654,1.1701384159702335,CMAGR+Party+Precinct,No Stratification,FES PID with Reg
gov_vote,Roos,1.0577477785279494,0.25752635008455116,CMAGR+Party+Precinct,No Stratification,FES PID with Reg
gov_vote,Gimenez,0.49504246273902763,0.134793471536239,CMAGR+Party+Precinct,No Stratification,FES PID with Reg
sen_vote,Rubio,50.49299540212744,1.188141424278216,CMAGR+Party+Precinct,No Stratification,FES PID with Reg
