dv,cand,dv_val,se,scheme,strata,survey
gov_vote,DeSantis,44.82345212677321,1.2499821090569456,CMAGR,No Stratification,FES w/Leon resample
gov_vote,Crist,53.90207717380131,1.2532486325801624,CMAGR,No Stratification,FES w/Leon resample
gov_vote,Roos,0.7301152886130233,0.20836297939819,CMAGR,No Stratification,FES w/Leon resample
gov_vote,Gimenez,0.5443554108124543,0.16643859597684385,CMAGR,No Stratification,FES w/Leon resample
sen_vote,Rubio,42.233345500408404,1.2296496092524187,CMAGR,No Stratification,FES w/Leon resample
sen_vote,Demings,56.229514689681395,1.2357648316202083,CMAGR,No Stratification,FES w/Leon resample
sen_vote,Third Party,1.0276751641744706,0.2505512004384749,CMAGR,No Stratification,FES w/Leon resample
sen_vote,Other,0.5094646457357216,0.14146139876077599,CMAGR,No Stratification,FES w/Leon resample
house_vote,Republican,42.66012123564162,1.2451055048054172,CMAGR,No Stratification,FES w/Leon resample
house_vote,Democrat,54.255083767882304,1.256690160106641,CMAGR,No Stratification,FES w/Leon resample
house_vote,Third Party,1.3599200164168108,0.27925693236363963,CMAGR,No Stratification,FES w/Leon resample
house_vote,Other,1.724874980059263,0.33468275995920926,CMAGR,No Stratification,FES w/Leon resample
climate,NA,1.9905923811294222,0.03044276911291087,CMAGR,No Stratification,FES w/Leon resample
wait_time,NA,5.786225227561506,0.5133201064305158,CMAGR,No Stratification,FES w/Leon resample
gov_vote,DeSantis,50.73499626866537,1.2222964396131435,CMAGR+Party,No Stratification,FES w/Leon resample
gov_vote,Crist,47.998613862580825,1.2177868572296393,CMAGR+Party,No Stratification,FES w/Leon resample
gov_vote,Roos,0.725990995173064,0.20703894558539554,CMAGR+Party,No Stratification,FES w/Leon resample
gov_vote,Gimenez,0.5403988735807468,0.17431064729943782,CMAGR+Party,No Stratification,FES w/Leon resample
sen_vote,Rubio,48.4679190135703,1.2259316610131672,CMAGR+Party,No Stratification,FES w/Leon resample
sen_vote,Demings,49.84945894540702,1.2215730506713462,CMAGR+Party,No Stratification,FES w/Leon resample
sen_vote,Third Party,1.085615137667852,0.2358287442477586,CMAGR+Party,No Stratification,FES w/Leon resample
sen_vote,Other,0.5970069033548288,0.14149738914886878,CMAGR+Party,No Stratification,FES w/Leon resample
house_vote,Republican,49.24341881825862,1.2367184136473626,CMAGR+Party,No Stratification,FES w/Leon resample
house_vote,Democrat,47.932784050762116,1.2272345492192194,CMAGR+Party,No Stratification,FES w/Leon resample
house_vote,Third Party,1.3335041463003219,0.243793705710833,CMAGR+Party,No Stratification,FES w/Leon resample
house_vote,Other,1.490292984678946,0.27701785432597426,CMAGR+Party,No Stratification,FES w/Leon resample
climate,NA,2.1038717193618717,0.029541411627355418,CMAGR+Party,No Stratification,FES w/Leon resample
wait_time,NA,5.3888165882237224,0.36305210148645745,CMAGR+Party,No Stratification,FES w/Leon resample
gov_vote,DeSantis,50.601664023312274,1.1561107635537993,CMAGR+Party+Precinct,No Stratification,FES w/Leon resample
